Milestone,Experiment,QuerySet,R@1,R@2,R@5,R@10,MRR@10,dupR@1,dupMRR@10,Model,Modality,Query_Set,Recall@1,Recall@5,Recall@10
M5.5,B1,Q1,0.796601,0.962029,0.998141,1.0,0.890277,0.859798,0.924128,,,,,,
M5.5,B1,Q2,0.756771,0.929102,0.986989,0.99522,0.860859,0.814126,0.892926,,,,,,
M5.5,B1,Q3,0.300113,0.41502,0.521739,0.592885,0.39651,0.323264,0.410769,,,,,,
M5.5,B2,Q1,0.665959,0.848911,0.950345,0.979554,0.79066,0.720393,0.823883,,,,,,
M5.5,B2,Q2,0.552576,0.729421,0.861922,0.90547,0.684314,0.594796,0.714006,,,,,,
M5.5,B2,Q3,0.630435,0.819876,0.932806,0.970638,0.763086,0.67476,0.786971,,,,,,
M5.5,D1,Q1,0.793415,0.958311,0.998141,1.0,0.887998,0.854488,0.920654,,,,,,
M5.5,D1,Q2,0.761551,0.925119,0.981944,0.991768,0.861269,0.819172,0.89259,,,,,,
M5.5,D1,Q3,0.362789,0.481649,0.599661,0.658103,0.463127,0.392151,0.480547,,,,,,
M5.5,D2,Q1,0.720393,0.905204,0.974774,0.98991,0.835367,0.779341,0.869985,,,,,,
M5.5,D2,Q2,0.661445,0.846522,0.933086,0.958577,0.782247,0.712958,0.813694,,,,,,
M5.5,D2,Q3,0.614342,0.793619,0.910785,0.94664,0.742345,0.659232,0.766608,,,,,,
M5.5,H1c_k10,Q1,0.776155,0.948221,0.994955,0.999734,0.876538,0.838024,0.911083,,,,,,
M5.5,H1c_k10,Q2,0.744822,0.925119,0.988317,0.997876,0.854761,0.806957,0.890408,,,,,,
M5.5,H1c_k10,Q3,0.509317,0.700452,0.856296,0.938171,0.659668,0.54856,0.682393,,,,,,
M5.5,H1c_k30,Q1,0.780935,0.944238,0.992831,0.999203,0.877745,0.842539,0.912265,,,,,,
M5.5,H1c_k30,Q2,0.739777,0.911312,0.979554,0.994158,0.847677,0.802177,0.884175,,,,,,
M5.5,H1c_k30,Q3,0.478826,0.645116,0.789949,0.883964,0.615684,0.516093,0.636813,,,,,,
M5.5,H1c_k60,Q1,0.779341,0.94291,0.992034,0.998141,0.876337,0.840945,0.910976,,,,,,
M5.5,H1c_k60,Q2,0.733935,0.906001,0.974509,0.991237,0.842289,0.79607,0.879151,,,,,,
M5.5,H1c_k60,Q3,0.468944,0.621965,0.755788,0.843309,0.595302,0.505647,0.61595,,,,,,
M5.5,H1a,Q1,0.797132,0.959904,0.998141,1.0,0.890166,0.860064,0.92361,,,,,,
M5.5,H1a,Q2,0.767658,0.940255,0.992831,0.996548,0.870096,0.826872,0.902536,,,,,,
M5.5,H1a,Q3,0.359966,0.48419,0.59825,0.673066,0.463747,0.389328,0.481571,,,,,,
M5.5,H1b,Q1,0.702337,0.898566,0.975836,0.98991,0.82518,0.761285,0.86069,,,,,,
M5.5,H1b,Q2,0.630643,0.830058,0.924057,0.953266,0.761548,0.685343,0.797465,,,,,,
M5.5,H1b,Q3,0.637775,0.828063,0.929418,0.968097,0.767597,0.683512,0.792482,,,,,,
